company_id,company,country,shippings,incidencias,date,days_w_shipments,last_ship,week,company_creation_date,created_months
52,FORCINITI NATACHA ALFOSINA ELENA,AR,1,1,2019-07-25,1,2019-07-25,201929,2019-07-22,24
64,Lentes Plus,AR,1,0,2019-07-26,1,2019-07-26,201929,2019-07-23,24
65,Viamo,AR,3,0,2019-07-24,3,2019-07-26,201929,2019-07-24,24
2,OXA Pharma,AR,27,0,2019-07-28,5,2019-08-02,201930,2019-07-05,25
3,Librenta,AR,117,4,2019-07-29,5,2019-08-02,201930,2019-07-15,25
4,Alparamis,AR,1,0,2019-08-01,1,2019-08-01,201930,2019-07-16,25
5,Tienda Pepino,AR,28,1,2019-07-30,3,2019-08-01,201930,2019-07-16,25
6,Brubank,AR,1,0,2019-07-29,1,2019-07-29,201930,2019-07-16,25
8,Agora XXI SRL,AR,5,0,2019-08-01,1,2019-08-01,201930,2019-07-17,25
10,Apio Verde,AR,20,2,2019-07-30,3,2019-08-01,201930,2019-07-18,25
11,Jugueterias Carrousel,AR,12,0,2019-07-30,3,2019-08-01,201930,2019-07-18,25
14,El mercado de la bicicleta,AR,1,0,2019-08-02,1,2019-08-02,201930,2019-07-19,24
15,Famusic S.A,AR,3,0,2019-07-30,1,2019-07-30,201930,2019-07-19,24
16,Altercom,AR,5,0,2019-07-30,3,2019-08-01,201930,2019-07-19,24
17,Cynthia Miño,AR,1,0,2019-07-31,1,2019-07-31,201930,2019-07-19,24
19,Amitosai,AR,4,0,2019-08-01,1,2019-08-01,201930,2019-07-20,24
20,DGM Maquinarias,AR,9,0,2019-07-30,3,2019-08-01,201930,2019-07-20,24
22,Point Sports,AR,2,0,2019-07-31,2,2019-08-01,201930,2019-07-20,24
23,Salgran,AR,1,0,2019-07-30,1,2019-07-30,201930,2019-07-20,24
24,Tonich Argentina,AR,16,0,2019-08-01,2,2019-08-02,201930,2019-07-20,24
25,FOT-TAIRON SA,AR,26,0,2019-07-30,3,2019-08-01,201930,2019-07-20,24
26,Electro and power,AR,4,0,2019-07-30,3,2019-08-01,201930,2019-07-20,24
28,Amont,AR,3,0,2019-08-01,1,2019-08-01,201930,2019-07-20,24
31,Farmacia Santa Fe,AR,1,0,2019-08-01,1,2019-08-01,201930,2019-07-20,24
32,Instrumentos Parquer,AR,10,0,2019-07-30,3,2019-08-01,201930,2019-07-20,24
33,TRICUBO,AR,13,2,2019-07-30,3,2019-08-01,201930,2019-07-20,24
35,Maaian hogar,AR,13,1,2019-07-29,5,2019-08-02,201930,2019-07-20,24
37,Complot,AR,11,0,2019-07-30,3,2019-08-01,201930,2019-07-20,24
38,TuTecno,AR,1,0,2019-07-31,1,2019-07-31,201930,2019-07-20,24
39,El mundo del juguete,AR,8,0,2019-07-30,2,2019-08-01,201930,2019-07-20,24
40,Saiku Organico,AR,12,0,2019-07-29,2,2019-08-01,201930,2019-07-20,24
42,Fashion Cook,AR,4,0,2019-07-30,2,2019-08-01,201930,2019-07-20,24
46,CGO Store,AR,18,1,2019-07-30,2,2019-08-01,201930,2019-07-22,24
48,Crop,AR,5,0,2019-07-30,3,2019-08-01,201930,2019-07-22,24
50,Lenceria Urbana,AR,2,0,2019-07-30,2,2019-08-02,201930,2019-07-22,24
61,Casa Rincon,AR,1,0,2019-08-02,1,2019-08-02,201930,2019-07-23,24
64,Lentes Plus,AR,10,0,2019-07-30,2,2019-08-01,201930,2019-07-23,24
65,Viamo,AR,25,0,2019-07-30,4,2019-08-02,201930,2019-07-24,24
66,GNC,AR,1,0,2019-08-02,1,2019-08-02,201930,2019-07-25,24
68,Linio,AR,3,2,2019-07-29,2,2019-08-01,201930,2019-07-29,24
2,OXA Pharma,AR,17,0,2019-08-06,2,2019-08-09,201931,2019-07-05,25
3,Librenta,AR,203,11,2019-08-05,5,2019-08-09,201931,2019-07-15,25
4,Alparamis,AR,3,0,2019-08-07,1,2019-08-07,201931,2019-07-16,25
5,Tienda Pepino,AR,23,0,2019-08-06,4,2019-08-09,201931,2019-07-16,25
8,Agora XXI SRL,AR,6,0,2019-08-06,3,2019-08-08,201931,2019-07-17,25
10,Apio Verde,AR,27,1,2019-08-05,4,2019-08-08,201931,2019-07-18,25
11,Jugueterias Carrousel,AR,40,1,2019-08-05,5,2019-08-09,201931,2019-07-18,25
12,Estate Pipes,AR,17,0,2019-08-05,5,2019-08-09,201931,2019-07-19,24
13,Lumi,AR,2,0,2019-08-08,2,2019-08-09,201931,2019-07-19,24
16,Altercom,AR,3,0,2019-08-05,3,2019-08-09,201931,2019-07-19,24
17,Cynthia Miño,AR,1,0,2019-08-06,1,2019-08-06,201931,2019-07-19,24
18,Romemut,AR,1,0,2019-08-07,1,2019-08-07,201931,2019-07-19,24
20,DGM Maquinarias,AR,2,1,2019-08-05,1,2019-08-05,201931,2019-07-20,24
22,Point Sports,AR,3,0,2019-08-05,2,2019-08-08,201931,2019-07-20,24
23,Salgran,AR,2,0,2019-08-05,1,2019-08-05,201931,2019-07-20,24
24,Tonich Argentina,AR,7,0,2019-08-07,2,2019-08-09,201931,2019-07-20,24
25,FOT-TAIRON SA,AR,18,0,2019-08-05,5,2019-08-09,201931,2019-07-20,24
26,Electro and power,AR,9,0,2019-08-05,4,2019-08-08,201931,2019-07-20,24
27,Poli-fel,AR,1,0,2019-08-06,1,2019-08-06,201931,2019-07-20,24
28,Amont,AR,2,0,2019-08-08,1,2019-08-08,201931,2019-07-20,24
29,Lef Digital,AR,5,0,2019-08-05,2,2019-08-07,201931,2019-07-20,24
32,Instrumentos Parquer,AR,14,0,2019-08-05,4,2019-08-09,201931,2019-07-20,24
33,TRICUBO,AR,10,0,2019-08-05,3,2019-08-08,201931,2019-07-20,24
34,Ikitoi,AR,5,0,2019-08-05,3,2019-08-09,201931,2019-07-20,24
35,Maaian hogar,AR,4,0,2019-08-05,4,2019-08-09,201931,2019-07-20,24
36,Toys for kids,AR,3,1,2019-08-05,2,2019-08-07,201931,2019-07-20,24
37,Complot,AR,10,0,2019-08-05,4,2019-08-08,201931,2019-07-20,24
38,TuTecno,AR,4,1,2019-08-06,2,2019-08-09,201931,2019-07-20,24
39,El mundo del juguete,AR,11,0,2019-08-07,3,2019-08-09,201931,2019-07-20,24
40,Saiku Organico,AR,19,0,2019-08-06,3,2019-08-08,201931,2019-07-20,24
42,Fashion Cook,AR,1,0,2019-08-06,1,2019-08-06,201931,2019-07-20,24
43,Zona 6 SRL,AR,3,1,2019-08-07,3,2019-08-09,201931,2019-07-20,24
46,CGO Store,AR,9,1,2019-08-05,2,2019-08-06,201931,2019-07-22,24
48,Crop,AR,2,0,2019-08-06,2,2019-08-07,201931,2019-07-22,24
50,Lenceria Urbana,AR,3,0,2019-08-06,2,2019-08-07,201931,2019-07-22,24
56,Braga Couture,AR,2,0,2019-08-07,2,2019-08-08,201931,2019-07-22,24
61,Casa Rincon,AR,2,1,2019-08-05,2,2019-08-08,201931,2019-07-23,24
63,MM Cosméticos,AR,1,0,2019-08-09,1,2019-08-09,201931,2019-07-23,24
64,Lentes Plus,AR,26,0,2019-08-06,4,2019-08-09,201931,2019-07-23,24
65,Viamo,AR,28,4,2019-08-05,5,2019-08-09,201931,2019-07-24,24
66,GNC,AR,4,1,2019-08-05,4,2019-08-09,201931,2019-07-25,24
67,Salvaje City,AR,1,0,2019-08-09,1,2019-08-09,201931,2019-07-25,24
68,Linio,AR,120,21,2019-08-07,4,2019-08-10,201931,2019-07-29,24
69,Oliver Socks,AR,1,0,2019-08-05,1,2019-08-05,201931,2019-08-05,24
2,OXA Pharma,AR,10,0,2019-08-12,3,2019-08-15,201932,2019-07-05,25
3,Librenta,AR,182,6,2019-08-12,5,2019-08-16,201932,2019-07-15,25
4,Alparamis,AR,3,0,2019-08-13,2,2019-08-16,201932,2019-07-16,25
5,Tienda Pepino,AR,57,0,2019-08-12,5,2019-08-16,201932,2019-07-16,25
8,Agora XXI SRL,AR,4,0,2019-08-14,2,2019-08-16,201932,2019-07-17,25
10,Apio Verde,AR,67,1,2019-08-11,6,2019-08-16,201932,2019-07-18,25
11,Jugueterias Carrousel,AR,165,5,2019-08-11,6,2019-08-16,201932,2019-07-18,25
12,Estate Pipes,AR,22,1,2019-08-12,5,2019-08-16,201932,2019-07-19,24
16,Altercom,AR,1,0,2019-08-16,1,2019-08-16,201932,2019-07-19,24
18,Romemut,AR,5,0,2019-08-15,2,2019-08-16,201932,2019-07-19,24
24,Tonich Argentina,AR,6,1,2019-08-12,3,2019-08-16,201932,2019-07-20,24
25,FOT-TAIRON SA,AR,26,0,2019-08-12,5,2019-08-16,201932,2019-07-20,24
26,Electro and power,AR,3,0,2019-08-16,1,2019-08-16,201932,2019-07-20,24
32,Instrumentos Parquer,AR,4,1,2019-08-14,2,2019-08-16,201932,2019-07-20,24
33,TRICUBO,AR,6,0,2019-08-13,2,2019-08-14,201932,2019-07-20,24
34,Ikitoi,AR,8,0,2019-08-12,5,2019-08-16,201932,2019-07-20,24
35,Maaian hogar,AR,9,0,2019-08-13,3,2019-08-15,201932,2019-07-20,24
36,Toys for kids,AR,1,0,2019-08-14,1,2019-08-14,201932,2019-07-20,24
37,Complot,AR,1,0,2019-08-14,1,2019-08-14,201932,2019-07-20,24
38,TuTecno,AR,1,0,2019-08-16,1,2019-08-16,201932,2019-07-20,24
39,El mundo del juguete,AR,37,1,2019-08-13,4,2019-08-16,201932,2019-07-20,24
40,Saiku Organico,AR,47,0,2019-08-12,4,2019-08-15,201932,2019-07-20,24
46,CGO Store,AR,3,1,2019-08-15,1,2019-08-15,201932,2019-07-22,24
48,Crop,AR,3,1,2019-08-13,2,2019-08-14,201932,2019-07-22,24
50,Lenceria Urbana,AR,1,0,2019-08-14,1,2019-08-14,201932,2019-07-22,24
54,Guima,AR,9,1,2019-08-13,4,2019-08-16,201932,2019-07-22,24
55,FUNDACION GREENPEACE ARGENTINA ,AR,1,0,2019-08-12,1,2019-08-12,201932,2019-07-22,24
56,Braga Couture,AR,1,0,2019-08-13,1,2019-08-13,201932,2019-07-22,24
61,Casa Rincon,AR,2,1,2019-08-12,2,2019-08-15,201932,2019-07-23,24
63,MM Cosméticos,AR,8,1,2019-08-13,4,2019-08-16,201932,2019-07-23,24
64,Lentes Plus,AR,24,3,2019-08-12,5,2019-08-16,201932,2019-07-23,24
65,Viamo,AR,11,0,2019-08-12,5,2019-08-16,201932,2019-07-24,24
66,GNC,AR,6,2,2019-08-12,2,2019-08-13,201932,2019-07-25,24
68,Linio,AR,292,25,2019-08-11,7,2019-08-17,201932,2019-07-29,24
69,Oliver Socks,AR,1,0,2019-08-12,1,2019-08-12,201932,2019-08-05,24
70,Watchfan,AR,5,0,2019-08-13,3,2019-08-16,201932,2019-08-10,24
71,CBGB,AR,2,0,2019-08-15,1,2019-08-15,201932,2019-08-15,24
72,Los viajes de Marian,AR,1,0,2019-08-17,1,2019-08-17,201932,2019-08-17,24
2,OXA Pharma,AR,11,0,2019-08-21,3,2019-08-23,201933,2019-07-05,25
3,Librenta,AR,104,1,2019-08-20,4,2019-08-23,201933,2019-07-15,25
4,Alparamis,AR,2,0,2019-08-21,2,2019-08-22,201933,2019-07-16,25
5,Tienda Pepino,AR,49,2,2019-08-20,3,2019-08-23,201933,2019-07-16,25
8,Agora XXI SRL,AR,3,0,2019-08-20,2,2019-08-21,201933,2019-07-17,25
10,Apio Verde,AR,10,0,2019-08-20,4,2019-08-23,201933,2019-07-18,25
11,Jugueterias Carrousel,AR,25,1,2019-08-20,4,2019-08-23,201933,2019-07-18,25
12,Estate Pipes,AR,16,0,2019-08-20,4,2019-08-23,201933,2019-07-19,24
17,Cynthia Miño,AR,2,0,2019-08-23,1,2019-08-23,201933,2019-07-19,24
20,DGM Maquinarias,AR,1,0,2019-08-23,1,2019-08-23,201933,2019-07-20,24
22,Point Sports,AR,5,0,2019-08-23,1,2019-08-23,201933,2019-07-20,24
24,Tonich Argentina,AR,2,0,2019-08-20,2,2019-08-22,201933,2019-07-20,24
26,Electro and power,AR,1,0,2019-08-23,1,2019-08-23,201933,2019-07-20,24
32,Instrumentos Parquer,AR,9,0,2019-08-20,3,2019-08-23,201933,2019-07-20,24
33,TRICUBO,AR,1,0,2019-08-21,1,2019-08-21,201933,2019-07-20,24
34,Ikitoi,AR,2,0,2019-08-21,2,2019-08-23,201933,2019-07-20,24
35,Maaian hogar,AR,2,0,2019-08-23,1,2019-08-23,201933,2019-07-20,24
36,Toys for kids,AR,2,0,2019-08-20,2,2019-08-22,201933,2019-07-20,24
37,Complot,AR,1,1,2019-08-23,1,2019-08-23,201933,2019-07-20,24
38,TuTecno,AR,1,0,2019-08-22,1,2019-08-22,201933,2019-07-20,24
40,Saiku Organico,AR,9,0,2019-08-20,1,2019-08-20,201933,2019-07-20,24
41,Turquesa,AR,1,0,2019-08-23,1,2019-08-23,201933,2019-07-20,24
46,CGO Store,AR,6,0,2019-08-21,2,2019-08-23,201933,2019-07-22,24
50,Lenceria Urbana,AR,1,0,2019-08-22,1,2019-08-22,201933,2019-07-22,24
53,IDEA 2 S.A.  ,AR,1,0,2019-08-23,1,2019-08-23,201933,2019-07-22,24
54,Guima,AR,5,0,2019-08-20,2,2019-08-23,201933,2019-07-22,24
63,MM Cosméticos,AR,7,0,2019-08-20,3,2019-08-23,201933,2019-07-23,24
64,Lentes Plus,AR,26,2,2019-08-20,4,2019-08-23,201933,2019-07-23,24
65,Viamo,AR,29,1,2019-08-19,5,2019-08-23,201933,2019-07-24,24
66,GNC,AR,5,0,2019-08-20,2,2019-08-22,201933,2019-07-25,24
68,Linio,AR,254,16,2019-08-19,5,2019-08-23,201933,2019-07-29,24
69,Oliver Socks,AR,1,1,2019-08-23,1,2019-08-23,201933,2019-08-05,24
70,Watchfan,AR,2,1,2019-08-23,1,2019-08-23,201933,2019-08-10,24
72,Los viajes de Marian,AR,1,0,2019-08-20,1,2019-08-20,201933,2019-08-17,24
74,Aplausos,AR,2,0,2019-08-22,2,2019-08-23,201933,2019-08-21,23
75,Smoke Cave,AR,4,0,2019-08-22,1,2019-08-22,201933,2019-08-22,23
2,OXA Pharma,AR,38,6,2019-08-25,4,2019-08-30,201934,2019-07-05,25
3,Librenta,AR,123,3,2019-08-26,5,2019-08-30,201934,2019-07-15,25
4,Alparamis,AR,1,0,2019-08-30,1,2019-08-30,201934,2019-07-16,25
5,Tienda Pepino,AR,55,1,2019-08-27,4,2019-08-30,201934,2019-07-16,25
6,Brubank,AR,254,62,2019-08-30,1,2019-08-30,201934,2019-07-16,25
8,Agora XXI SRL,AR,15,1,2019-08-27,4,2019-08-30,201934,2019-07-17,25
10,Apio Verde,AR,36,0,2019-08-27,4,2019-08-30,201934,2019-07-18,25
11,Jugueterias Carrousel,AR,9,0,2019-08-26,4,2019-08-30,201934,2019-07-18,25
12,Estate Pipes,AR,8,0,2019-08-26,4,2019-08-30,201934,2019-07-19,24
13,Lumi,AR,2,0,2019-08-28,2,2019-08-30,201934,2019-07-19,24
14,El mercado de la bicicleta,AR,1,0,2019-08-29,1,2019-08-29,201934,2019-07-19,24
16,Altercom,AR,23,1,2019-08-27,4,2019-08-30,201934,2019-07-19,24
17,Cynthia Miño,AR,1,0,2019-08-29,1,2019-08-29,201934,2019-07-19,24
20,DGM Maquinarias,AR,14,0,2019-08-27,4,2019-08-30,201934,2019-07-20,24
22,Point Sports,AR,4,0,2019-08-28,3,2019-08-30,201934,2019-07-20,24
23,Salgran,AR,10,0,2019-08-27,4,2019-08-30,201934,2019-07-20,24
24,Tonich Argentina,AR,3,0,2019-08-27,2,2019-08-28,201934,2019-07-20,24
25,FOT-TAIRON SA,AR,23,0,2019-08-27,4,2019-08-30,201934,2019-07-20,24
26,Electro and power,AR,12,0,2019-08-26,5,2019-08-30,201934,2019-07-20,24
28,Amont,AR,3,0,2019-08-27,3,2019-08-30,201934,2019-07-20,24
29,Lef Digital,AR,14,0,2019-08-26,4,2019-08-30,201934,2019-07-20,24
32,Instrumentos Parquer,AR,17,2,2019-08-27,4,2019-08-30,201934,2019-07-20,24
33,TRICUBO,AR,25,1,2019-08-26,5,2019-08-30,201934,2019-07-20,24
34,Ikitoi,AR,6,0,2019-08-28,3,2019-08-30,201934,2019-07-20,24
35,Maaian hogar,AR,4,0,2019-08-27,3,2019-08-30,201934,2019-07-20,24
36,Toys for kids,AR,1,0,2019-08-28,1,2019-08-28,201934,2019-07-20,24
37,Complot,AR,10,0,2019-08-27,4,2019-08-30,201934,2019-07-20,24
38,TuTecno,AR,5,1,2019-08-27,4,2019-08-30,201934,2019-07-20,24
39,El mundo del juguete,AR,1,0,2019-08-29,1,2019-08-29,201934,2019-07-20,24
42,Fashion Cook,AR,1,0,2019-08-30,1,2019-08-30,201934,2019-07-20,24
46,CGO Store,AR,29,1,2019-08-27,4,2019-08-30,201934,2019-07-22,24
48,Crop,AR,6,1,2019-08-29,2,2019-08-30,201934,2019-07-22,24
50,Lenceria Urbana,AR,3,0,2019-08-27,3,2019-08-30,201934,2019-07-22,24
53,IDEA 2 S.A.  ,AR,4,0,2019-08-28,2,2019-08-30,201934,2019-07-22,24
54,Guima,AR,2,0,2019-08-29,2,2019-08-30,201934,2019-07-22,24
56,Braga Couture,AR,4,0,2019-08-26,3,2019-08-30,201934,2019-07-22,24
58,Biebel,AR,2,0,2019-08-29,2,2019-08-30,201934,2019-07-22,24
61,Casa Rincon,AR,2,0,2019-08-26,2,2019-08-28,201934,2019-07-23,24
63,MM Cosméticos,AR,7,0,2019-08-27,3,2019-08-30,201934,2019-07-23,24
64,Lentes Plus,AR,53,3,2019-08-26,5,2019-08-30,201934,2019-07-23,24
65,Viamo,AR,29,3,2019-08-26,6,2019-08-31,201934,2019-07-24,24
66,GNC,AR,5,0,2019-08-26,4,2019-08-30,201934,2019-07-25,24
68,Linio,AR,337,32,2019-08-25,7,2019-08-31,201934,2019-07-29,24
70,Watchfan,AR,8,0,2019-08-27,4,2019-08-30,201934,2019-08-10,24
71,CBGB,AR,1,0,2019-08-28,1,2019-08-28,201934,2019-08-15,24
72,Los viajes de Marian,AR,1,1,2019-08-30,1,2019-08-30,201934,2019-08-17,24
73,Belleza India,AR,5,3,2019-08-28,2,2019-08-30,201934,2019-08-20,23
74,Aplausos,AR,3,1,2019-08-26,3,2019-08-30,201934,2019-08-21,23
77,Hairfy,AR,1,0,2019-08-30,1,2019-08-30,201934,2019-08-27,23
2,OXA Pharma,AR,33,1,2019-09-01,5,2019-09-06,201935,2019-07-05,25
3,Librenta,AR,121,15,2019-09-02,5,2019-09-06,201935,2019-07-15,25
5,Tienda Pepino,AR,109,2,2019-09-02,5,2019-09-06,201935,2019-07-16,25
6,Brubank,AR,759,278,2019-09-02,5,2019-09-07,201935,2019-07-16,25
8,Agora XXI SRL,AR,15,0,2019-09-02,5,2019-09-06,201935,2019-07-17,25
10,Apio Verde,AR,55,2,2019-09-02,5,2019-09-06,201935,2019-07-18,25
11,Jugueterias Carrousel,AR,34,4,2019-09-02,6,2019-09-07,201935,2019-07-18,25
12,Estate Pipes,AR,19,0,2019-09-02,5,2019-09-06,201935,2019-07-19,24
13,Lumi,AR,3,0,2019-09-02,2,2019-09-03,201935,2019-07-19,24
16,Altercom,AR,29,1,2019-09-02,5,2019-09-06,201935,2019-07-19,24
17,Cynthia Miño,AR,1,0,2019-09-02,1,2019-09-02,201935,2019-07-19,24
18,Romemut,AR,1,0,2019-09-03,1,2019-09-03,201935,2019-07-19,24
20,DGM Maquinarias,AR,23,0,2019-09-02,4,2019-09-06,201935,2019-07-20,24
22,Point Sports,AR,4,0,2019-09-02,2,2019-09-03,201935,2019-07-20,24
23,Salgran,AR,2,0,2019-09-03,2,2019-09-05,201935,2019-07-20,24
24,Tonich Argentina,AR,7,0,2019-09-02,3,2019-09-05,201935,2019-07-20,24
25,FOT-TAIRON SA,AR,32,0,2019-09-02,5,2019-09-06,201935,2019-07-20,24
26,Electro and power,AR,19,0,2019-09-02,5,2019-09-06,201935,2019-07-20,24
27,Poli-fel,AR,1,0,2019-09-05,1,2019-09-05,201935,2019-07-20,24
28,Amont,AR,2,0,2019-09-03,2,2019-09-06,201935,2019-07-20,24
29,Lef Digital,AR,15,1,2019-09-02,4,2019-09-06,201935,2019-07-20,24
32,Instrumentos Parquer,AR,23,1,2019-09-02,5,2019-09-06,201935,2019-07-20,24
33,TRICUBO,AR,31,0,2019-09-02,4,2019-09-06,201935,2019-07-20,24
34,Ikitoi,AR,4,0,2019-09-05,2,2019-09-06,201935,2019-07-20,24
35,Maaian hogar,AR,8,1,2019-09-02,3,2019-09-05,201935,2019-07-20,24
37,Complot,AR,9,0,2019-09-03,3,2019-09-06,201935,2019-07-20,24
38,TuTecno,AR,11,0,2019-09-02,2,2019-09-03,201935,2019-07-20,24
39,El mundo del juguete,AR,8,2,2019-09-02,5,2019-09-06,201935,2019-07-20,24
41,Turquesa,AR,3,0,2019-09-02,2,2019-09-06,201935,2019-07-20,24
42,Fashion Cook,AR,3,0,2019-09-02,3,2019-09-04,201935,2019-07-20,24
48,Crop,AR,1,1,2019-09-03,1,2019-09-03,201935,2019-07-22,24
50,Lenceria Urbana,AR,7,2,2019-09-02,2,2019-09-04,201935,2019-07-22,24
53,IDEA 2 S.A.  ,AR,1,1,2019-09-02,1,2019-09-02,201935,2019-07-22,24
54,Guima,AR,3,0,2019-09-03,2,2019-09-06,201935,2019-07-22,24
56,Braga Couture,AR,3,2,2019-09-04,1,2019-09-04,201935,2019-07-22,24
61,Casa Rincon,AR,4,2,2019-09-04,2,2019-09-06,201935,2019-07-23,24
62,Renova tu vestidor,AR,2,0,2019-09-05,1,2019-09-05,201935,2019-07-23,24
63,MM Cosméticos,AR,11,0,2019-09-02,4,2019-09-06,201935,2019-07-23,24
64,Lentes Plus,AR,234,4,2019-09-02,5,2019-09-06,201935,2019-07-23,24
65,Viamo,AR,17,0,2019-09-01,7,2019-09-07,201935,2019-07-24,24
66,GNC,AR,7,0,2019-09-02,5,2019-09-06,201935,2019-07-25,24
68,Linio,AR,293,38,2019-09-01,7,2019-09-07,201935,2019-07-29,24
69,Oliver Socks,AR,1,0,2019-09-02,1,2019-09-02,201935,2019-08-05,24
70,Watchfan,AR,6,0,2019-09-02,3,2019-09-05,201935,2019-08-10,24
71,CBGB,AR,1,0,2019-09-02,1,2019-09-02,201935,2019-08-15,24
72,Los viajes de Marian,AR,2,0,2019-09-05,1,2019-09-05,201935,2019-08-17,24
73,Belleza India,AR,2,0,2019-09-05,2,2019-09-06,201935,2019-08-20,23
74,Aplausos,AR,3,0,2019-09-03,3,2019-09-06,201935,2019-08-21,23
2,OXA Pharma,AR,41,1,2019-09-09,5,2019-09-13,201936,2019-07-05,25
3,Librenta,AR,142,20,2019-09-09,5,2019-09-13,201936,2019-07-15,25
4,Alparamis,AR,1,0,2019-09-09,1,2019-09-09,201936,2019-07-16,25
5,Tienda Pepino,AR,99,9,2019-09-09,5,2019-09-13,201936,2019-07-16,25
6,Brubank,AR,2393,575,2019-09-09,6,2019-09-14,201936,2019-07-16,25
8,Agora XXI SRL,AR,15,0,2019-09-10,4,2019-09-13,201936,2019-07-17,25
10,Apio Verde,AR,38,0,2019-09-09,5,2019-09-13,201936,2019-07-18,25
11,Jugueterias Carrousel,AR,32,0,2019-09-09,5,2019-09-13,201936,2019-07-18,25
12,Estate Pipes,AR,21,9,2019-09-09,4,2019-09-13,201936,2019-07-19,24
13,Lumi,AR,3,1,2019-09-09,3,2019-09-13,201936,2019-07-19,24
16,Altercom,AR,34,0,2019-09-09,5,2019-09-13,201936,2019-07-19,24
17,Cynthia Miño,AR,5,0,2019-09-10,4,2019-09-13,201936,2019-07-19,24
20,DGM Maquinarias,AR,25,0,2019-09-09,5,2019-09-13,201936,2019-07-20,24
22,Point Sports,AR,4,0,2019-09-09,3,2019-09-13,201936,2019-07-20,24
23,Salgran,AR,8,0,2019-09-09,4,2019-09-12,201936,2019-07-20,24
24,Tonich Argentina,AR,30,1,2019-09-09,5,2019-09-13,201936,2019-07-20,24
25,FOT-TAIRON SA,AR,15,1,2019-09-09,4,2019-09-13,201936,2019-07-20,24
26,Electro and power,AR,13,1,2019-09-09,4,2019-09-13,201936,2019-07-20,24
27,Poli-fel,AR,1,1,2019-09-13,1,2019-09-13,201936,2019-07-20,24
28,Amont,AR,2,0,2019-09-13,1,2019-09-13,201936,2019-07-20,24
29,Lef Digital,AR,11,0,2019-09-09,3,2019-09-12,201936,2019-07-20,24
